mem,temp,acc,rot,class
660.65,27.4,584.295222804,0.317692,1
661.866666667,27.4,584.277180019,0.317292,1
662.783333333,27.4,584.278196165,0.318612,1
663.466666667,27.4,584.260194054,0.320182,1
664.05,27.4,584.297258074,0.358942,1
664.633333333,27.4,584.298330721,0.356282,1
665.183333333,27.4,584.337473822,0.357472,1
665.85,27.4,584.394845156,0.358032,1
666.516666667,27.4,584.41499755,0.358726,1
667.2,27.4,584.433045291,0.359456,1
667.866666667,27.4,584.508409426,0.414126,1
668.6,27.4,584.507298373,0.412496,1
669.35,27.4,584.546659676,0.417136,1
670.116666667,27.4,584.69878634,0.418926,1
670.85,27.4,584.659459158,0.419266,1
671.55,27.4,584.641567273,0.388966,1
672.3,27.4,584.603314848,0.387546,1
673.033333333,27.4,584.585171055,0.397686,1
673.766666667,27.4,584.585171055,0.396916,1
674.516666667,27.4,584.58511456,0.444226,1
675.25,27.4,584.662604806,0.515646,1
676,27.4,584.623092988,0.522356,1
676.7,27.4,584.604123105,0.522566,1
677.3,27.4,584.643494903,0.519366,1
677.383333333,27.4,584.644662457,0.517496,1
677.55,27.4,584.644511858,0.483326,1
677.583333333,27.4,584.645678603,0.481196,1
677.683333333,27.4,584.644601729,0.480026,1
677.766666667,27.4,584.606349082,0.479356,1
677.766666667,27.4,584.568096435,0.461426,1
677.766666667,27.4,584.606296674,0.465856,1
677.816666667,27.4,584.624414777,0.468196,1
677.916666667,27.4,584.60731581,0.468466,1
678.083333333,27.4,584.644064016,0.42633,1
678.433333333,27.4,584.659560562,0.4184,1
678.9,27.4,584.678619385,0.41952,1
678.783333333,27.4,584.719149348,0.41986,1
678.233333333,27.4,584.717981794,0.4171,1
677.683333333,27.4,584.717981794,0.4166,1
677.15,27.4,584.757252586,0.41503,1
676.65,27.4,584.795565223,0.41646,1
676.116666667,27.4,584.777600824,0.41491,1
675.6,27.4,584.759553083,0.41546,1
675.116666667,27.4,584.817999174,0.41746,1
674.7,27.4,584.81683162,0.41646,1
674.233333333,27.4,584.816775113,0.41643,1
673.866666667,27.4,584.837020421,0.41548,1
673.4,27.4,584.876438336,0.43112,1
672.9,27.4,584.914690983,0.40154,1
672.416666667,27.4,584.973170167,0.40304,1
671.933333333,27.4,584.974244924,0.42945,1
671.466666667,27.4,584.974244924,0.42839,1
671,27.4,584.993306821,0.43758,1
670.533333333,27.4,584.954011477,0.442084,1
670.066666667,27.4,584.955122536,0.443274,1
669.616666667,27.4,584.975331431,0.451534,1
669.166666667,27.4,585.012502999,0.474404,1
668.533333333,27.4,585.013498378,0.483614,1
667.983333333,27.4,585.015625583,0.496544,1
667.45,27.4,584.996491334,0.505494,1
666.716666667,27.4,584.996434827,0.504311,1
665.983333333,27.4,585.034630006,0.509681,1
665.25,27.4,585.034686507,0.507578,1
664.533333333,27.4,585.071766255,0.507088,1
663.816666667,27.4,585.070770876,0.467908,1
663.083333333,27.4,585.069641722,0.468408,1
662.35,27.4,585.03251624,0.468928,1
661.633333333,27.4,584.994279044,0.469288,1
660.916666667,27.4,584.974070031,0.488788,1
660.2,27.4,584.936888152,0.487988,1
659.5,27.4,584.880584947,0.459288,1
658.733333333,27.4,584.86030058,0.458678,1
657.95,27.4,584.86030058,0.452918,1
657.133333333,27.4,584.746411995,0.450128,1
656.35,27.4,584.746506288,0.457498,1
655.583333333,27.4,584.787313039,0.447578,1
654.8,27.4,584.309540708,0.446495,1
654.016666667,27.4,584.309691323,0.435859,1
653.233333333,27.4,584.328812323,0.438289,1
652.45,27.4,584.270482325,0.390159,1
651.666666667,27.4,584.194161119,0.320599,1
650.866666667,27.4,584.232470156,0.314349,1
650.066666667,27.4,584.232376048,0.315349,1
649.25,27.4,584.26965185,0.315079,1
648.883333333,27.4,584.288711578,0.314859,1
648.35,27.4,584.345151491,0.313939,1
647.816666667,27.4,584.363105134,0.314769,1
647.233333333,27.4,584.402433688,0.314899,1
646.65,27.4,584.439766102,0.315239,1
646.166666667,27.4,584.477098516,0.317309,1
645.65,27.4,584.456942883,0.315669,1
645.083333333,27.4,584.474259973,0.314419,1
644.566666667,27.4,584.547598264,0.314259,1
644.033333333,27.4,584.547748584,0.315545,1
643.366666667,27.4,584.585989972,0.322775,1
642.6,27.4,584.583957512,0.322685,1
642.45,27.4,584.580745017,0.321049,1
642.7,27.4,584.579728871,0.322959,1
643.1,27.4,584.597941082,0.322122,1
643.5,27.4,584.598091386,0.323452,1
643.95,27.4,584.597056258,0.322942,1
644.4,27.4,584.594868263,0.323102,1
644.833333333,27.4,584.592760488,0.334812,1
645.266666667,27.4,584.552509635,0.336122,1
645.716666667,27.4,584.513332061,0.356582,1
646.15,27.4,583.658148047,0.411112,1
646.566666667,27.4,583.617764935,0.418572,1
646.966666667,27.4,583.577328875,0.400052,1
647.4,27.4,583.576709157,0.402652,1
647.833333333,27.4,583.555465729,0.400982,1
648.25,27.4,583.572492092,0.374542,1
648.216666667,27.4,583.571419445,0.373132,1
648.45,27.4,583.552357548,0.362075,1
648.7,27.4,583.592782046,0.360825,1
648.983333333,27.4,583.570575731,0.357205,1
649.25,27.4,583.550461129,0.346895,1
649.466666667,27.4,583.53240847,0.323175,1
649.683333333,27.4,583.495438722,0.316155,1
649.883333333,27.4,583.512431905,0.303415,1
650.066666667,27.4,583.530550008,0.294085,1
650.283333333,27.4,583.530700623,0.294436,1
650.5,27.4,583.510642522,0.288956,1
650.716666667,27.4,583.529854723,0.290339,1
650.933333333,27.4,583.549029511,0.293539,1
651.15,27.4,583.547996409,0.294589,1
651.383333333,27.4,583.548052916,0.307869,1
651.583333333,27.4,583.567281152,0.307359,1
651.783333333,27.4,583.586399439,0.307699,1
651.966666667,27.4,583.604557178,0.288929,1
652.133333333,27.4,583.623691316,0.286682,1
652.25,27.4,583.622767464,0.262812,1
652.366666667,27.4,583.641979184,0.262352,1
652.433333333,27.4,583.620622865,0.261672,1
652.55,27.4,583.582535698,0.260982,1
652.716666667,27.4,583.620791964,0.253482,1
652.883333333,27.4,583.616133641,0.248212,1
653.066666667,27.4,584.11304011,0.249865,1
653.233333333,27.4,584.132160313,0.250951,1
653.4,27.4,584.056739892,0.250191,1
653.583333333,27.4,584.132156996,0.251471,1
653.85,27.4,584.131082249,0.249151,1
654.116666667,27.4,584.110985423,0.249861,1
654.383333333,27.4,584.131176357,0.248411,1
654.65,27.4,584.131176357,0.249981,1
654.95,27.4,584.130217777,0.250331,1
655.35,27.4,584.071820708,0.248881,1
655.75,27.4,584.034865094,0.247771,1
656.15,27.4,584.014750492,0.247701,1
656.55,27.4,583.995536181,0.247131,1
656.933333333,27.4,583.977488615,0.246091,1
657.333333333,27.4,583.977545129,0.243331,1
657.75,27.4,583.960322147,0.244181,1
658.066666667,27.4,583.903179457,0.243901,1
658.383333333,27.4,583.883965146,0.244631,1
658.666666667,27.4,583.845817866,0.234831,1
658.933333333,27.4,583.846947102,0.233321,1
659.183333333,27.4,583.827730754,0.233717,1
659.45,27.4,583.789569326,0.271477,1
659.566666667,27.4,583.808595606,0.322634,1
659.683333333,27.4,583.789477503,0.322214,1
659.766666667,27.4,583.789571621,0.321934,1
659.85,27.4,583.848017712,0.320957,1
659.95,27.4,583.82984112,0.321757,1
660.033333333,27.4,583.791581504,0.320787,1
660.116666667,27.4,583.847924152,0.299247,1
660.2,27.4,584.721345893,0.245797,1
660.283333333,27.4,584.894521969,0.243117,1
660.366666667,27.4,584.913658217,0.243177,1
660.466666667,27.4,584.895216038,0.240357,1
660.7,27.4,584.914430349,0.241777,1
660.966666667,27.4,584.897403986,0.243187,1
661.733333333,27.4,584.858335631,0.246647,1
662.233333333,27.4,584.859446684,0.249034,1
662.75,27.4,584.839237789,0.246266,1
663.233333333,27.4,584.859411007,0.247196,1
663.716666667,27.4,584.859260095,0.246526,1
664.266666667,27.4,584.838131472,0.247156,1
664.8,27.4,584.856152198,0.247546,1
665.316666667,27.4,584.838198555,0.247296,1
665.833333333,27.4,584.858389489,0.249216,1
