mem,temp,acc,rot,class
640.714285714,27.4,68.121912124,0.01261,1
645.428571429,27.4,68.121912124,0.011016,1
647.571428571,27.4,68.122984771,0.012406,1
647.714285714,27.4,68.103867229,0.012696,1
647,27.4,68.122999182,0.015366,1
646.142857143,27.4,68.104937691,0.014456,1
644.857142857,27.4,68.105823934,0.016116,1
644.857142857,27.4,68.144076359,0.016666,1
644.857142857,27.4,68.163137284,0.06326,1
644.571428571,27.4,68.182255571,0.06324,1
644.428571429,27.4,68.23752189,0.06307,1
644.285714286,27.4,68.254458578,0.06073,1
644.142857143,27.4,68.274703769,0.06055,1
644.142857143,27.4,68.274760388,0.06038,1
644,27.4,68.275963169,0.06017,1
644.285714286,27.4,68.295102483,0.01471,1
645.857142857,27.4,68.21747826,0.01684,1
647.857142857,27.4,68.20040712,0.01895,1
650.571428571,27.4,68.182453477,0.05478,1
654.428571429,27.4,68.180269777,0.05633,1
658.142857143,27.4,68.162226992,0.05693,1
662,27.4,68.160967821,0.05769,1
665.428571429,27.4,68.162038374,0.07675,1
668,27.4,68.200335415,0.07291,1
670,27.4,68.181201166,0.07065,1
671.285714286,27.4,68.180128529,0.03428,1
671.428571429,27.4,68.162444314,0.07304,1
671.857142857,27.4,68.184126801,0.08156,1
672.142857143,27.4,68.145930766,0.0808,1
672.285714286,27.4,68.106659974,0.06228,1
672.428571429,27.4,68.127979922,0.06514,1
672.571428571,27.4,68.127979922,0.06601,1
672.571428571,27.4,68.108749566,0.06737,1
672.285714286,27.4,68.088121144,0.02541,1
672.142857143,27.4,68.104633836,0.01691,1
671.857142857,27.4,68.141815715,0.01712,1
671.571428571,27.4,68.141815715,0.01608,1
670.428571429,27.4,68.141815715,0.01593,1
669.857142857,27.4,68.159933818,0.01585,1
668.714285714,27.4,68.160951963,0.01523,1
668.857142857,27.4,68.181146497,0.01965,1
668.857142857,27.4,68.162012248,0.04835,1
668.714285714,27.4,68.105656104,0.04794,1
668.714285714,27.4,68.105656104,0.04809,1
669.428571429,27.4,68.104545051,0.04696,1
669.571428571,27.4,68.105617698,0.04757,1
670.428571429,27.4,68.123679294,0.045906,1
670.285714286,27.4,68.142813543,0.044326,1
670,27.4,68.141795398,0.016566,1
670,27.4,68.199222088,0.018566,1
671.571428571,27.4,68.237478724,0.018566,1
672.428571429,27.4,68.236406077,0.017426,1
673.285714286,27.4,68.236349576,0.016266,1
675.571428571,27.4,68.236406083,0.01758,1
677.714285714,27.4,68.198210904,0.0153,1
679.857142857,27.4,68.218363298,0.01405,1
682,27.4,68.162108762,0.01353,1
682.571428571,27.4,68.163104141,0.05264,1
684,27.4,68.164176788,0.05199,1
685.428571429,27.4,68.182224633,0.05292,1
685.285714286,27.4,68.221534476,0.05295,1
685.285714286,27.4,68.259729655,0.05245,1
685.428571429,27.4,68.277833897,0.05325,1
685.428571429,27.4,68.352082601,0.10664,1
686,27.4,68.333039481,0.06892,1
686.571428571,27.4,68.353266646,0.07531,1
687.142857143,27.4,68.467136452,0.07757,1
687.714285714,27.4,68.408690361,0.0779,1
688,27.4,68.389707007,0.0935,1
688.285714286,27.4,68.352525128,0.09133,1
688.714285714,27.4,68.314283519,0.04663,1
688.571428571,27.4,68.33233126,0.04515,1
688.428571429,27.4,68.313158653,0.08764,1
688.142857143,27.4,68.238578854,0.1571,1
688.142857143,27.4,68.239596999,0.16326,1
688.428571429,27.4,68.257658315,0.14831,1
688.714285714,27.4,68.257658315,0.14866,1
685.142857143,27.4,68.259898522,0.13876,1
683,27.4,68.24179428,0.14119,1
680.714285714,27.4,68.24083382,0.0933,1
679,27.4,68.144223915,0.02131,1
677.142857143,27.4,68.144223915,0.01469,1
674.571428571,27.4,68.126011704,0.01561,1
672,27.4,68.163137186,0.0194,1
673.714285714,27.4,68.160953486,0.02135,1
674.428571429,27.4,68.142932481,0.01942,1
675.714285714,27.4,68.160829727,0.018174,1
678.285714286,27.4,68.199085634,0.019934,1
681.857142857,27.4,68.218201069,0.020964,1
681,27.4,68.257712887,0.020714,1
676.428571429,27.4,68.239665042,0.016384,1
671.428571429,27.4,68.221546939,0.014414,1
666,27.4,68.258686342,0.013934,1
660,27.4,68.239622351,0.01554,1
652.285714286,27.4,68.222674098,0.01342,1
643.571428571,27.4,68.222749413,0.01306,1
640.142857143,27.4,68.240665541,0.01368,1
640.142857143,27.4,68.240665541,0.01529,1
640.285714286,27.4,68.258727137,0.01568,1
640.571428571,27.4,68.240719798,0.01568,1
641,27.4,68.26201961,0.03431,1
641.285714286,27.4,68.299102407,0.03498,1
641.428571429,27.4,68.319273188,0.03552,1
641.428571429,27.4,68.261901854,0.06008,1
641.714285714,27.4,68.261958355,0.05889,1
641.857142857,27.4,68.282149406,0.06872,1
641.857142857,27.4,68.24067035,0.07251,1
641.714285714,27.4,68.221497743,0.05648,1
641.857142857,27.4,68.202435846,0.06656,1
642.142857143,27.4,68.23855492,0.08993,1
642.428571429,27.4,68.276732178,0.07273,1
642.571428571,27.4,68.277786736,0.08558,1
642.857142857,27.4,68.239534089,0.08418,1
642.857142857,27.4,68.278829433,0.079807,1
642.714285714,27.4,68.277718374,0.081707,1
642.428571429,27.4,68.277718374,0.070094,1
642.285714286,27.4,68.221372018,0.046214,1
642.142857143,27.4,68.220376639,0.036934,1
642,27.4,68.218192927,0.023854,1
641.714285714,27.4,68.218249539,0.016354,1
641.714285714,27.4,68.219378693,0.017927,1
641.857142857,27.4,68.19916968,0.031557,1
642.142857143,27.4,68.180035542,0.03366,1
642.285714286,27.4,68.160901293,0.05884,1
642.428571429,27.4,68.122569185,0.05969,1
642.571428571,27.4,68.143925504,0.05982,1
642.428571429,27.4,68.181032207,0.05877,1
642.428571429,27.4,68.160917605,0.06611,1
642.285714286,27.4,68.202950015,0.05229,1
642,27.4,67.725177684,0.049837,1
641.714285714,27.4,67.743389895,0.023201,1
641.428571429,27.4,67.800843003,0.024761,1
641.285714286,27.4,67.723340398,0.024881,1
641.285714286,27.4,67.686327978,0.027571,1
641.142857143,27.4,67.725560867,0.020111,1
641.142857143,27.4,67.702721324,0.016081,1
641.142857143,27.4,68.217769457,0.017244,1
641.142857143,27.4,68.238918777,0.01776,1
641.142857143,27.4,68.258133448,0.01684,1
641,27.4,68.333456629,0.01791,1
641,27.4,68.352496484,0.01561,1
641,27.4,68.351519861,0.01558,1
641.142857143,27.4,68.370734172,0.01757,1
641.142857143,27.4,68.350428219,0.01999,1
641.142857143,27.4,68.346501881,0.02091,1
